
ModelBox: 512 models
-> 3.02019051626215*x**2 - 2.92889138765362*sqrt(x**5) + 0.0268454914561741, p = 2.0269483973148673e-06, parse trees = 3, valid = True, error = 0.000683167349353434, time = 73.43142414093018
-> -0.0399678561227359 + 9.98365384798091*exp(-0.0484621559869847*x**4) - 9.95879519618127*exp(-0.0630144255343554*x), p = 1.0066329600000004e-06, parse trees = 2, valid = True, error = 0.0006846955242285542, time = 891.7162439823151
-> -4.18657227220552*x**2 + 9.99948309547363*x - 8.0384248250197 + 8.06777266265829*exp(-1.2359696429909*x), p = 1.1653908470100935e-05, parse trees = 7, valid = True, error = 0.0006893983173633216, time = 478.05224347114563
-> -0.933100913103361*x**3 + 1.03966862564857*sqrt(x**3) + 0.014004918832943, p = 1.3045963161600006e-07, parse trees = 1, valid = True, error = 0.0006912324535059004, time = 74.1166684627533
-> 9.9955582138189*exp(-0.166922400341403*x**3) - 9.95924490667176*exp(-0.177250666580817*x**2), p = 3.1457280000000007e-05, parse trees = 2, valid = True, error = 0.000695431947731146, time = 344.6266324520111
-> -0.648850299778709*x**6 + 0.654482200910178*x**2 + 0.0741316602269861, p = 9.393093476352005e-08, parse trees = 1, valid = True, error = 0.0007405323442476989, time = 21.98191237449646
-> -0.505033731344609*sqrt(x**7) + 9.97137773805192 - 9.99286555408832*exp(-0.0675453955617585*x), p = 1.0555311626649606e-12, parse trees = 1, valid = True, error = 0.0008093128146678313, time = 889.924357175827
-> -0.421891792813137*sqrt(x) - 0.707609947863364*x**3 + 1.20187837968038*x + 0.0531280253707717, p = 1.6792318757716153e-06, parse trees = 3, valid = True, error = 0.0008277038748664412, time = 213.34397053718567
-> -0.586312528316373*x**7 + 0.579473670411016*x**2 + 0.0801654996220661, p = 1.1741366845440006e-06, parse trees = 1, valid = True, error = 0.0008459840780536172, time = 20.917548894882202
-> -3.77771781663572*x**2 - 1.35978684246615*x + 5.21501553632154*sqrt(x**3) + 0.0490340528953209, p = 3.462669979122403e-11, parse trees = 1, valid = True, error = 0.0008800550903363274, time = 309.9372487068176
-> -2.30278422095029*x**4 + 2.30317738062257*x**3 + 0.0839875526982077, p = 1.2713291100979203e-05, parse trees = 5, valid = True, error = 0.0009302045929395696, time = 20.896809577941895
-> -1.11231935061148*sqrt(x**3) + 1.33747122144742 - 1.27483253695814*exp(-2.50230513949029*x**2), p = 2.2672434423398405e-06, parse trees = 2, valid = True, error = 0.0009545725651862935, time = 371.52115178108215
-> -0.00144987600214709*x**7 - 1.85323031509472*x**3 + 1.95497965664334*x**2, p = 7.514474781081604e-08, parse trees = 1, valid = True, error = 0.0009707227442033178, time = 29.684525728225708
-> -1.8557035815697*x**3 + 1.95620409511848*sqrt(x**4), p = 1.1324620800000004e-05, parse trees = 1, valid = True, error = 0.0009707403847349663, time = 31.49735403060913
-> -1.85717728990947*x**3 + 1.95752017822105*x**2, p = 0.0006443482742784001, parse trees = 3, valid = True, error = 0.0009707466222781062, time = 6.052184581756592
-> 0.348842088284737*sqrt(x) - 1.15359097518739e-5*exp(9.99988208834963*x), p = 0.00049152, parse trees = 2, valid = True, error = 0.0009857102942266176, time = 213.4048261642456
-> -0.571803777693384*x**3 + 0.734640027558233*x - 0.0287256878424891, p = 0.0010261041884909502, parse trees = 50, valid = True, error = 0.0009924602000374917, time = 21.812300205230713
-> 0.735005465269759*x - 0.572037251541583*sqrt(x**6) - 0.0288510960325966, p = 1.6307453952000003e-06, parse trees = 1, valid = True, error = 0.0009924616503287056, time = 87.60602521896362
-> -0.572064129517672*x**3 + 0.734992748068468*sqrt(x**2) - 0.028835211760538, p = 1.0204098385485498e-05, parse trees = 3, valid = True, error = 0.000992461694355938, time = 78.96312975883484
-> -0.572527147678205*x**3 - 3.8765411988388*x + 4.61194103417743*sqrt(x**2) - 0.0289054910085063, p = 9.513116337438721e-07, parse trees = 5, valid = True, error = 0.0009924712437074613, time = 233.17698097229004
