t,x,y,z,dx,dy,dz
11.8,7.58716589601678,8.966301489413587,23.835542447950953,13.776768277551144,22.598347816927244,4.478468168083083
11.81,7.7293486666464535,9.192322196732047,23.894491752393385,14.613351646467043,22.505490459755517,7.339777437512751
11.82,7.8794329289461205,9.416411298608697,23.982337996701208,15.351459738531226,22.202101363854343,10.246802083344164
11.83,8.036377861417078,9.636364224009133,24.09942779406027,15.979476807747028,21.66858164953629,13.175256762738563
11.84,8.199022465101061,9.849782931599423,24.24584313195598,16.485066208857102,20.886279881447756,16.096369777628183
11.85,8.36607918559422,10.054089821638089,24.421355189612832,16.855374424585534,19.83845107033888,18.976696494306466
11.86,8.536129953592772,10.2465519530062,24.62537706184211,17.077313549791207,18.5113491716022,21.778112238285274
11.870000000000001,8.707625456590044,10.424316805070132,24.856917434378538,17.137926286378757,16.895426001986458,24.458035168238546
11.88,8.878888479320347,10.58446047304593,25.11453776520688,17.02483372716488,14.986592322715353,26.969928075554073
11.89,9.048122131133342,10.72404865152444,25.39631599588962,16.72676106736768,12.787477964905403,29.264120976563746
11.9,9.2134237006677,10.840210032344038,25.699820184738154,16.23412991011044,10.308608950686615,31.28898251390453
11.91,9.37280472933555,10.930220830538172,26.02209564616771,15.539698278924874,7.5694030768985066,32.99244680012343
11.92,9.524217666246198,10.991598093882008,26.359669120740623,14.639221277512426,4.598874339978032,34.32387348914521
11.93,9.665589154885799,11.022198317337732,26.708573115950614,13.532097280140132,1.435934209719214,35.236183844991764
11.94,9.794859611849,11.020316778076392,27.06439279764046,12.22195757864446,-1.870812766487262,35.68817714922172
11.950000000000001,9.910028306458688,10.984782062007987,27.42233665893505,10.717152679079689,-5.263858030417978,35.64689411735067
11.96,10.009202665430594,10.915039617468032,27.77733067998747,9.031087111688052,-8.678203527013562,35.0898625132432
11.97,10.09065004869245,10.811217991467716,28.124133909199912,7.1823577109334735,-12.043391119355817,34.00704081386827
11.98,10.152849819649264,10.674171795080916,28.457471496264837,5.1946584772991855,-15.286076174998886,32.40227408188634
11.99,10.194543218238433,10.505496467967738,28.77217939083764,3.0964284023185407,-18.333012257057835,30.294095981316538
12.0,10.214778387695635,10.30751154993976,29.063353415891168,0.9202363457262663,-21.114257868332942,27.71575317857078
12.01,10.212947945152958,10.08321131060108,29.326494454409055,-1.298082270716172,-23.566375530918027,24.714390573747735
12.02,10.188816742281311,9.836184039321399,29.557641227366123,-3.5205006764033264,-25.63537588745266,21.34941153904446
12.030000000000001,10.142537931624892,9.570503792852026,29.753482685189944,-5.708031778241285,-27.27916981098506,17.690107187469728
12.040000000000001,10.074656106716485,9.290600643101698,29.911443371115517,-7.822043350427421,-28.469330300740037,13.812721587624921
12.05,9.986097064616343,9.001117186837226,30.029737116942442,-9.825576583981377,-29.19202910192018,9.797175199513575
12.06,9.878144575036858,8.706760061063294,30.10738687510579,-11.684585773461542,-29.448092197756015,5.723698552579393
12.07,9.752405349147113,8.412155342882105,30.14421108799403,-13.369023510205569,-29.252202563519614,1.6696283603986117
12.08,9.610764104832747,8.121716009792902,30.14077944231376,-14.853709502614798,-28.631356198445967,-2.2934102134053447
12.09,9.455331159094817,7.839528218913186,30.098342883725923,-16.118940233020407,-27.622738382288325,-6.101763086900647
12.1,9.288385300172338,7.569261242147135,30.018744180575748,-17.150818635875353,-26.271224592841545,-9.701342667283086
12.11,9.11231478637731,7.314103727056355,29.90431603038026,-17.941305180430422,-24.626722060519455,-13.048523673861112
12.120000000000001,8.92955919656373,7.076726800936746,29.757773707098526,-18.488011723834408,-22.741555233680177,-16.11036913378321
12.13,8.742554551900621,6.859272622382751,29.582108647704597,-18.793775394454304,-20.668066528562388,-18.86426884273611
12.14,8.553683688674644,6.663365470365498,29.380488330243804,-18.86606046114876,-18.456559635526347,-21.297108058194603
12.15,8.365233342677646,6.490141429672224,29.156166486540705,-18.716241337821593,-16.153663786894644,-23.40410146177554
12.16,8.179358861918212,6.340292194627605,28.912406301008293,-18.35881996389097,-13.801150357003777,-25.187428104787024
12.17,7.998056943399827,6.214118422532149,28.652417924444965,-17.810626702992227,-11.43519287207111,-26.654790646950666
12.18,7.8231463278583675,6.111588337186183,28.37931048806928,-17.090046810395787,-9.08603083821733,-27.818001124760094
12.19,7.656256007191911,6.032397805767802,28.096057901949763,-16.216305694940303,-6.777977701442683,-28.69167016676837
12.200000000000001,7.498820213959561,5.9760287831573295,27.805477084733912,-15.208836796149061,-4.529703131415852,-29.292050797452873
